태풍번호,태풍명,최저 기압(hpa),최대풍속(10분 평균 m/s)
199523,DAN,985,28
199522,BRIAN,998,21
199521,ZACK,950,46
199520,ANGELA,910,59
199519,YVETTE,985,26
199518,WARD,940,44
199517,VAL,996,21
199516,TED,990,26
199515,SIBYL,985,26
199514,RYAN,940,44
199513,POLLY,960,39
199512,OSCAR,925,51
199511,NINA,992,21
199510,MARK,985,33
199509,LOIS,980,26
199508,KENT,945,44
199507,JANIS,990,23
199506,IRVING,990,23
199505,HELEN,985,26
199504,GARY,980,28
199503,FAYE,950,39
199502,DEANNA,988,21
199501,CHUCK,998,18
199436,BOBBIE,968,26
199435,AXEL,950,44
199434,ZELDA,910,54
199433,YURI,996,21
199432,WILDA,935,46
199431,VERNE,950,41
199430,TERESA,955,41
199429,SETH,910,57
199428,RUTH,992,21
199427,PAT,965,36
199426,ORCHID,925,51
199425,NAT,992,21
199424,MELISSA,910,57
199423,LUKE,990,23
199422,JOEL,990,23
199421,KINNA,960,39
199420,JOHN,940,44
199419,IVY,960,39
199418,HARRY,990,23
199417,GLADYS,955,41
199416,FRED,925,51
199415,LI,992,23
199414,ELLIE,965,36
199413,DOUG,925,51
199412,CAITLIN,990,23
199411,BRENDAN,992,23
199410,AMY,985,23
199409,YUNYA,990,23
199408,ZEKE,985,26
199407,WALT,915,51
199406,VANESSA,990,21
199405,TIM,930,49
199404,SHARON,996,21
199403,RUSS,985,26
199402,PAGE,965,36
199401,OWEN,980,31
199328,NELL,975,31
199327,MANNY,955,39
199326,LOLA,955,41
199325,KYLE,960,36
199324,JEANA,992,23
199323,IRA,950,41
199322,HATTIE,980,26
199321,GENE,998,18
199320,FLO,970,33
199319,ED,915,51
199318,DOT,965,36
199317,CECIL,950,41
199316,BECKY,980,28
199315,ABE,945,44
199314,ZOLA,985,26
199313,YANCY,925,49
199312,WINONA,990,21
199311,VERNON,965,36
199310,KEONI,940,46
199309,TASHA,970,33
199308,STEVE,980,28
199307,ROBYN,940,44
199306,PERCY,975,31
199305,OFELIA,990,23
199304,NATHAN,980,28
199303,LEWIS,975,31
199302,KORYN,905,54
199301,IRMA,985,26
199231,HUNT,940,46
199230,GAY,900,57
199229,FORREST,996,23
199228,ELSIE,915,51
199227,DAN,935,46
199226,COLLEEN,980,28
199225,BRIAN,950,41
199224,ANGELA,970,33
199223,ZACK,992,21
199222,YVETTE,915,51
199221,WARD,945,44
199220,VAL,970,23
199219,TED,985,26
199218,SIBYL,940,44
199217,RYAN,945,44
199216,POLLY,975,28
199215,OMAR,920,51
199214,LOIS,996,18
199213,NINA,996,18
199212,MARK,990,23
199211,KENT,930,49
199210,JANIS,935,49
199209,IRVING,980,28
199208,HELEN,996,21
199207,GARY,980,28
199206,FAYE,1000,18
199205,ELI,965,36
199204,CHUCK,965,36
199203,BOBBIE,940,46
199202,EKEKA,985,26
199201,AXEL,980,28
199129,ZELDA,975,31
199128,YURI,895,62
199127,WILDA,992,23
199126,VERNE,980,28
199125,THELMA,992,21
199124,SETH,925,51
199123,RUTH,895,59
199122,PAT,925,49
199121,ORCHID,930,49
199120,NAT,950,41
199119,MIREILLE,925,51
199118,LUKE,964,28
199117,KINNA,955,41
199116,JOEL,985,23
199115,IVY,935,49
199114,HARRY,984,21
199113,Noname,992,18
